"","cod_punt","longitud","latitud","dseq","etott","iha","osc1","osc2","pin","po","pp","ptt","pv","sdef","ssup","ta","tmaxc","tmc","tmf","tminf","cur_md","ins","mde","orien","pte","arc","are","ca","cic","cod_hid","crad","lim","mo","mo_sup","n_sup","ph","ps","psb","textura","tf"
"cod_punt",1,0.319812643077944,0.0896778600144722,0.270797223277398,0.0284332410299633,-0.291620928167099,0.063634857280877,0.0258548321357535,-0.373283137075546,-0.372868648544459,-0.31503314218117,-0.361672848044173,-0.160360685451549,0.242072564422099,-0.289336583406716,0.0855511011584799,0.0130798374602205,0.115599219163161,0.0421529172319265,-0.0175790535581381,-0.0146847179945947,0.0184523031916861,-0.0555082634712323,-0.0222648995516666,-0.0510438975279282,-0.216087793928211,0.0926504685937254,-0.0546053288838319,-0.134281060700976,0.0114449926303893,0.042288192883033,0.086840825852595,-0.086534557344397,-0.14035789590756,-0.0387352198569377,0.104614397144634,-0.0877879546494531,0.0577315811136099,0.0657120761096879,-0.0790675835702665
"longitud",0.319812643077944,1,-0.0764290188788353,0.17519118949549,-0.4322378634364,-0.154007406124664,0.355664055297375,0.111750944217475,-0.484189787551889,-0.457532411361218,-0.225580398263392,-0.393854449802344,0.136313541909354,0.00590412758344172,-0.197931600140512,-0.466825527270479,-0.405907123233225,-0.343288212115752,-0.502249283545146,-0.545627076169129,-0.0175001886870546,-0.0768312866507146,0.531027205372039,0.0252723574493161,0.337290523147432,-0.183270175018362,-0.174114744063453,-0.0653556936214971,0.0415082157741171,-0.219924252569939,0.144351669006031,0.471634799103123,0.307073893190922,0.321383816387216,0.062857058661592,0.67566665261654,-0.386101809819523,0.261912254231251,-0.0389546227021812,-0.351542577720518
"latitud",0.0896778600144722,-0.0764290188788353,1,-0.220863833315723,0.473937504170214,-0.11098573408979,0.769543842332367,0.822167117504757,-0.00236350250027671,-0.0101537453061418,0.141063496508039,0.0670321690099403,0.557295646979797,0.0399526734513116,-0.0902235588303566,-0.0718355387249128,0.601385949776344,0.294472857088042,-0.313174377969643,-0.370657799084709,-0.0315897417638161,-0.0201202310474234,0.0422714442284969,0.00601147407182892,-0.0386150986385405,-0.00797602251180901,0.047481596217486,0.344140315403831,-0.0795199096577276,-0.0851029842592553,0.150241856238621,-0.0661900277255879,-0.0903598246368121,-0.0638972730794829,0.00424893273827373,-0.42648454045386,-0.0110922148095496,-0.0837138450498965,0.155760549312115,0.00711715763694786
"dseq",0.270797223277398,0.17519118949549,-0.220863833315723,1,0.208093352958733,-0.545243493228699,-0.278832879109871,-0.23151921234802,-0.57181341442992,-0.593781324406706,-0.662763113093626,-0.630821810715527,-0.642403132038332,0.675845111514151,-0.46824693605484,0.495059071187859,0.130829716196168,0.394198473398377,0.487023408213136,0.409230308052939,-0.0422452744887959,0.106807304652968,-0.442953130304748,-0.0313332001200935,-0.335861840373863,-0.141978108803131,0.16090585021167,-0.138726704889637,-0.227730577301209,0.0934201925592013,0.0844746797407132,-0.100486557105416,-0.338820571995366,-0.38270571621906,-0.258681490729348,0.222577996833109,0.152350586615761,0.0997133830676449,0.0819018514388903,0.212232219809305
"etott",0.0284332410299633,-0.4322378634364,0.473937504170214,0.208093352958733,1,-0.581424572637669,0.22561378629528,0.480950838146984,-0.249089806793288,-0.275735793775576,-0.344955905365575,-0.291547344076178,-0.242166409072561,0.670701667101966,-0.503160965862994,0.609321924573881,0.881523080962477,0.771093704486634,0.418852109432371,0.321150439812303,-0.0948935219714713,0.321981472939337,-0.638893432045949,-0.0306909554325589,-0.534071961568237,0.127452097763105,0.138448813082217,0.232893852240496,-0.174450280454627,0.125832600855277,0.128846106995746,-0.355337415975127,-0.556919149385478,-0.568391886869133,-0.32573218992416,-0.284679319964502,0.484359673341587,-0.00273234812008579,0.0612681758644214,0.362211608364365
"iha",-0.291620928167099,-0.154007406124664,-0.11098573408979,-0.545243493228699,-0.581424572637669,1,-0.0632688424837684,-0.172133235679703,0.890043119102724,0.886045662350112,0.909006715838215,0.913276861304927,0.545643149755421,-0.78748969414469,0.978644449922603,-0.519335709038844,-0.457545054058942,-0.580179746877717,-0.388872642100396,-0.259199636855471,0.114790056731887,-0.168097053366669,0.479723624696094,0.0377489712703809,0.538498737409338,0.154171266422387,-0.147190393601853,0.0391871642198031,0.269573784529415,-0.0844283990333927,-0.17699479831643,0.0657513050429089,0.475220990032138,0.557623401822046,0.362652911649987,-0.209259531072778,-0.268187448374232,-0.231372381334494,-0.0881301660282366,-0.263406619616627
"osc1",0.063634857280877,0.355664055297375,0.769543842332367,-0.278832879109871,0.22561378629528,-0.0632688424837684,1,0.923371392643083,-0.109729804797365,-0.116978153952334,0.148568140704598,-0.00419669007163883,0.622858653915448,-0.0477286453144132,-0.0809622655627079,-0.421502287461914,0.379384468003352,0.0343645819499157,-0.666705644895512,-0.716924584283857,-0.0334319147100699,-0.0720449939974118,0.42699478189391,0.0402837114021622,0.170976971673815,0.0767370860027236,-0.153496592177336,0.335460936122129,0.0250643190485048,-0.18813178141463,0.179715992320584,0.159092385687436,0.0738866063778293,0.13502380533029,-0.0251400913769989,-0.00113985265761104,-0.0995757759183729,0.0476097807775226,0.0189449161124733,-0.19668694763837
"osc2",0.0258548321357535,0.111750944217475,0.822167117504757,-0.23151921234802,0.480950838146984,-0.172133235679703,0.923371392643083,1,-0.106756317203234,-0.112662295283307,0.0830865255346253,-0.0259060902925106,0.508848957753627,0.0752192240778018,-0.168293040678814,-0.224204846291826,0.600640864907659,0.198108320483187,-0.491539306049777,-0.583691931968769,-0.0509301585364084,-0.0354059334624461,0.201884223906702,0.0236729819930789,0.030452586237161,0.0873211713578441,-0.0813374174403393,0.291610797252263,-0.0593393474112116,-0.0716986178893692,0.163994132135908,0.0340439977308704,-0.0932638064160056,-0.046573473024605,-0.102579917944735,-0.14059233675161,0.0429947085816745,0.00945957403684744,0.0260596747196769,-0.00759803686441601
"pin",-0.373283137075546,-0.484189787551889,-0.00236350250027671,-0.57181341442992,-0.249089806793288,0.890043119102724,-0.109729804797365,-0.106756317203234,1,0.971476301812188,0.929784489306167,0.986190640842951,0.446375414905436,-0.66121609618069,0.916280940145274,-0.231902281872092,-0.139025125853811,-0.284391945752962,-0.136118980191293,-0.0137570818562882,0.0648630065346796,-0.0734590744260092,0.169299046391956,0.00849624515813817,0.370392653405475,0.243490659371559,-0.0961414203232586,0.12379891442217,0.246803132119023,-0.0293471036027075,-0.173961406482042,-0.110860026114702,0.277745127400871,0.359395317489236,0.303379946721621,-0.402442912060641,-0.082906504581088,-0.254150635869585,-0.0736370053239306,-0.144156762762064
"po",-0.372868648544459,-0.457532411361218,-0.0101537453061418,-0.593781324406706,-0.275735793775576,0.886045662350112,-0.116978153952334,-0.112662295283307,0.971476301812188,1,0.92234819826365,0.978833171546711,0.473446738402508,-0.680110966328156,0.906849829569926,-0.269346510747765,-0.180218049791228,-0.331017626210389,-0.16587234794699,-0.0485418670813781,0.0768737810260975,-0.103616141654465,0.203140110261233,0.0197385682715775,0.409854695631193,0.22251891137431,-0.103850852769573,0.105173901351551,0.298921948689024,-0.0515341651669787,-0.148867001814458,-0.0761280485708771,0.284311114497908,0.378187102165721,0.2984214063957,-0.397377114049247,-0.0753471929468211,-0.243614351304569,-0.0746989186138749,-0.184692011157144
"pp",-0.31503314218117,-0.225580398263392,0.141063496508039,-0.662763113093626,-0.344955905365575,0.909006715838215,0.148568140704598,0.0830865255346253,0.929784489306167,0.92234819826365,1,0.973182789586724,0.679606835560311,-0.746049867364124,0.920142082569115,-0.483318906600292,-0.21177998450958,-0.434227764223407,-0.426689083051421,-0.314259052520583,0.0748235924011939,-0.129399518198413,0.429664147761313,0.0451040006430209,0.529207318913477,0.209586669616635,-0.167625360269429,0.140123949887991,0.265971484214408,-0.122328906356643,-0.115252044973785,0.0382441898356405,0.421278360873584,0.520141135751935,0.330081811762021,-0.292761208612249,-0.213548002561945,-0.178681896300434,-0.0797066625444372,-0.27774666642047
"ptt",-0.361672848044173,-0.393854449802344,0.0670321690099403,-0.630821810715527,-0.291547344076178,0.913276861304927,-0.00419669007163883,-0.0259060902925106,0.986190640842951,0.978833171546711,0.973182789586724,1,0.567504282090157,-0.712528516407737,0.931791200336271,-0.348954475792562,-0.175048713495287,-0.361408683613202,-0.266619209302967,-0.146852060222781,0.0734342496874049,-0.103234367053322,0.286196401228041,0.0237125842481216,0.442066586745083,0.231842655859582,-0.129051868719267,0.131877474992011,0.27459586600651,-0.0702481892343755,-0.147516538156941,-0.0464806972084135,0.342564539942487,0.43454786802907,0.322780554664966,-0.374538570343624,-0.134586652723334,-0.231622054633782,-0.0782347121969462,-0.20272398595186
"pv",-0.160360685451549,0.136313541909354,0.557295646979797,-0.642403132038332,-0.242166409072561,0.545643149755421,0.622858653915448,0.508848957753627,0.446375414905436,0.473446738402508,0.679606835560311,0.567504282090157,1,-0.574922264443636,0.511445183135945,-0.754835304022819,-0.151497579260508,-0.511653449599994,-0.812797363108684,-0.761266075522531,0.0680651405009388,-0.149104206127954,0.710892880246785,0.049695997056992,0.431770704576954,0.100369946589797,-0.227691190762015,0.168417642136351,0.235970442333817,-0.191507264396709,0.0387751931979182,0.250489315588541,0.492793486048472,0.561446820046172,0.303107239882124,-0.141939412086186,-0.336763253042427,-0.0640777581667192,-0.0644936743143572,-0.262869550774089
"sdef",0.242072564422099,0.00590412758344172,0.0399526734513116,0.675845111514151,0.670701667101966,-0.78748969414469,-0.0477286453144132,0.0752192240778018,-0.66121609618069,-0.680110966328156,-0.746049867364124,-0.712528516407737,-0.574922264443636,1,-0.704164633355334,0.603054345060114,0.487670857640153,0.631253543851375,0.50380879192346,0.405480134565438,-0.0737177744405919,0.159660326644812,-0.571894057501658,-0.0326707864209681,-0.530130468880228,0.00414580492167224,0.103803115269462,0.0322002701145739,-0.176661468391972,0.0578155927995688,0.20237115489468,-0.167951178892501,-0.480924171529673,-0.528834540528652,-0.353643417218797,0.143903313894738,0.379747477805083,0.13454406190876,0.0460668777267453,0.303805189214328
"ssup",-0.289336583406716,-0.197931600140512,-0.0902235588303566,-0.46824693605484,-0.503160965862994,0.978644449922603,-0.0809622655627079,-0.168293040678814,0.916280940145274,0.906849829569926,0.920142082569115,0.931791200336271,0.511445183135945,-0.704164633355334,1,-0.431802061299023,-0.377522211691006,-0.489543110716445,-0.309029571003987,-0.182514068054664,0.107871914005194,-0.152387176901327,0.390638522443917,0.0360547554989973,0.517211683549401,0.187136992431015,-0.150890230514994,0.0459269837537554,0.281815038392443,-0.0962506144633899,-0.140155584671968,0.036068993619982,0.420401722228217,0.512179275652957,0.345285816895832,-0.225287786020062,-0.23253117028319,-0.219223695370367,-0.0861821791480749,-0.251074701658451
"ta",0.0855511011584799,-0.466825527270479,-0.0718355387249128,0.495059071187859,0.609321924573881,-0.519335709038844,-0.421502287461914,-0.224204846291826,-0.231902281872092,-0.269346510747765,-0.483318906600292,-0.348954475792562,-0.754835304022819,0.603054345060114,-0.431802061299023,1,0.620673673705826,0.8879405176791,0.954012067199189,0.897974788547108,-0.11813025005718,0.128377296531859,-0.988516615270946,-0.0490249896927294,-0.50910737254833,0.054124774068259,0.228609328429818,0.102052446605591,-0.149098159589813,0.17924587994788,0.0117501469232843,-0.418351043575781,-0.620939947514487,-0.653166396220412,-0.270425549234971,-0.162183920948643,0.46999970478902,0.0129592924206685,0.074851493995671,0.317367922384072
"tmaxc",0.0130798374602205,-0.405907123233225,0.601385949776344,0.130829716196168,0.881523080962477,-0.457545054058942,0.379384468003352,0.600640864907659,-0.139025125853811,-0.180218049791228,-0.21177998450958,-0.175048713495287,-0.151497579260508,0.487670857640153,-0.377522211691006,0.620673673705826,1,0.868949860339585,0.385368888927646,0.298600334015765,-0.12074651788574,0.0736154012402822,-0.638631599912439,-0.0127136951328032,-0.385360995451932,0.187546115748119,0.0855757982816264,0.347070527924742,-0.110005086099542,0.0773588450865063,0.140995175037096,-0.336795609371453,-0.565807866645827,-0.538729178700361,-0.277087498443084,-0.315218875596875,0.445817209277182,-0.0240529482090534,0.0538745920553046,0.250156992354569
"tmc",0.115599219163161,-0.343288212115752,0.294472857088042,0.394198473398377,0.771093704486634,-0.580179746877717,0.0343645819499157,0.198108320483187,-0.284391945752962,-0.331017626210389,-0.434227764223407,-0.361408683613202,-0.511653449599994,0.631253543851375,-0.489543110716445,0.8879405176791,0.868949860339585,1,0.721969852716536,0.646007786682598,-0.142837628869341,0.103036120438204,-0.869595643727458,-0.0310032974985015,-0.47073142149574,0.123176304599563,0.157092022510972,0.298000322186412,-0.124306375353626,0.0917021276065592,0.105720415482203,-0.380093957472079,-0.640260748789483,-0.639843222667516,-0.306866898897723,-0.176813613709642,0.47199312964167,0.0349346185508462,0.0805336119380666,0.235897198402089
"tmf",0.0421529172319265,-0.502249283545146,-0.313174377969643,0.487023408213136,0.418852109432371,-0.388872642100396,-0.666705644895512,-0.491539306049777,-0.136118980191293,-0.16587234794699,-0.426689083051421,-0.266619209302967,-0.812797363108684,0.50380879192346,-0.309029571003987,0.954012067199189,0.385368888927646,0.721969852716536,1,0.97811865869755,-0.0833767848512304,0.126719537441595,-0.944133802106087,-0.0510108301018818,-0.469426492609,0.0387325104085917,0.223424020079841,-0.0100136209939889,-0.110055785177391,0.198637847560679,-0.0455811638473543,-0.393604457290186,-0.528636048561709,-0.570652000203591,-0.211444224288871,-0.131071645745763,0.420933990100413,-0.00690894407200515,0.0469426748563552,0.312096022235993
